ID,Code,Day,Month,Year,Addressed from (Actual) ,Reg. Place written,Reg. Place written city,Reg. Place written country,"Reg. Place written, second city",Autograph or Typed,PhysDes,initialed or signed,phys descr detail,PhysDes notes,leaves,sides,Envelope,Postmark (Actual),Addressed to (Actual),Reg. recipient,Reg place sent,Reg. PlaceSent City,Reg. PlaceSent Country,Additional,Repository,Public?,Collection,Repository information,Second Repository,SECOND PUBLIC?,OwnerRights,PrimaryLang,File,Sender,PlacePrevPubl,Verified
1578,SABE 24-09-80 PAAU,24,9,80,Paris,,Paris,France,,A,C,S,imprinted,,1,1,E,"25-09-80, Paris","Mr Paul Auster, 153 Carroll St., Brooklyn, New York 11231, U.S.A.",Paul Auster,153 Carroll Street,Brooklyn,USA,,"Berg Collection, New York Public Library",Public,"Paul Auster collection of papers, 1987-2001 [bulk 1995-1999]",Berg Coll MSS Auster Archive,,,Beckett,English,AUSTER,Samuel Beckett,,
1579,SABE 25-05-74 PAAU,25,5,74,Paris,,Paris,France,,A,C,S,,,1,1,E,"25-05-74, Paris","Monsieur Paul Auster, c/o Albiac, 21 Rue Pauline Borghese, (Pavillon C), 92 - Neuilly sur Seine",Paul Auster,21 Rue Pauline Borghese,Neuilly-sur-Seine,France,,"Berg Collection, New York Public Library",Public,"Paul Auster collection of papers, 1987-2001 [bulk 1995-1999]",Berg Coll MSS Auster Archive,,,Beckett,English,AUSTER,Samuel Beckett,,
1580,SABE 25-07-75 PAAU,25,7,75,Paris,,Paris,France,,A,C,S,,,1,1,E,"26-07-75, Paris","Mr Paul Auster, 456 Riverside Drive, New York, N.Y. 10027, U.S.A.",Paul Auster,456 Riverside Drive,New York,USA,,"Berg Collection, New York Public Library",Public,"Paul Auster collection of papers, 1987-2001 [bulk 1995-1999]",Berg Coll MSS Auster Archive,,,Beckett,English,AUSTER,Samuel Beckett,,Y
1581,SABE 27-04-74 PAAU,27,4,74,Paris,,Paris,France,,A,C,S,,,1,1,E,Illegible,"Monsieur Paul Auster, St. Martin, 83 Moissac-Bellevue, Var",Paul Auster,Saint Martin,Moissac-Bellevue,France,,"Berg Collection, New York Public Library",Public,"Paul Auster collection of papers, 1987-2001 [bulk 1995-1999]",Berg Coll MSS Auster Archive,,,Beckett,English,AUSTER,Samuel Beckett,,
1583,SABE 28-03-[81] PAAU,28,3,81,,,,,,A,C,S,imprinted,,1,1,E,Illegible,"Mr Paul Auster, 153 Carroll St., Brooklyn, N.Y. 11231, U.S.A.",Paul Auster,153 Carroll Street,Brooklyn,USA,,"Berg Collection, New York Public Library",Public,"Paul Auster collection of papers, 1987-2001 [bulk 1995-1999]",Berg Coll MSS Auster Archive,,,Beckett,English,AUSTER,Samuel Beckett,,
1584,SABE 02-11-67 MIAV,2,11,67,Paris,,Paris,France,,A,L,S,,,1,1,,,Mira Avrech,Mira Avrech,,Berlin,Germany,,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN] MIRA AVERECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWEIGENS,"" STERN 50 (9-12-99): 158 FF.",Y
1585,SABE 04-02-68 MIAV,4,2,68,Ussy sur Marne,,Ussy-sur-Marne,France,,A,L,S,,,1,1,,,Mira Avrech,Mira Avrech,,Berlin,Germany,,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN], ERRONEOUSLY READ AS 11-2-68 IN MIRA AVRECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWEIGENS,"" STERN 50 (9-12-99): 158 FF. IN FACSIMILE, SOTHEBY'S 10 JULY 2001 SALE CATALOGUE, ""LITERATURE, HISTORY AND ILLUSTRATED BOOKS,"" ITEM 142 (P.86)",
1586,SABE 07-08-71 MIAV,7,8,71,Paris,,Paris,France,,A,C,S,,,1,1,,,Mira Avrech,Mira Avrech,,Tel Aviv,Israel,,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN] IN MIRA AVRECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWIGENS,"" STERN 50 (9-12-99): 158 FF.",
1587,SABE 10-10-70 MIAV,10,10,70,Paris,,Paris,France,,A,L,S,,,1,1,,,Mira Avrech,Mira Avrech,,Tel Aviv,Israel,,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN], ERRONEOUSLY READ AS 20-10-70, IN MIRA AVRECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWIGENS,"" STERN 50 (9-12-99): 158FF.",
1588,SABE 18-11-67 MIAV,18,11,67,Paris,,Paris,France,,A,L,S,,,1,1,,,Mira Avrech,Mira Avrech,,Berlin,Germany,,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN], ERRONEOUSLY AS 28-1--68, IN MIRA AVRECH, ""STILL NACHET MIT BEM MEISTER DES SCHEWEIGENS,"" STERN 50 (9-12-99): 158 FF.",
1589,SABE 21-09-68 MIAV,21,9,68,Paris,,Paris,France,,A,L,S,,,1,1,,,Mira Avrech,Mira Avrech,,Tel Aviv,Israel,,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN] MIRA AVRECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWEIGENS,"" STERN 50 (9-12-99): 158 FF.",
1590,SABE 24-08-74 MIAV,24,8,74,Paris,,Paris,France,,A,PC,S,,,1,1,,"24-08-74, PARIS",Mira Avrech,Mira Avrech,800 Shlomo Hamelect Street,Tel Aviv,Israel,,University of Reading,public,Avrech,ms 5515,,,AVRECH,English,AVRECH,Samuel Beckett,"[GERMAN] IN MIRA AVRECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWEIGENS,"" STERN, 50 (9-12-99): 158-66",
1592,SABE 31-08-71 MIAV,31,8,71,"Akademie der Kunste, Berlin",Akademie der Künste,Berlin,Germany,,A,PC,S,,,1,1,,,Mira Avrech,Mira Avrech,,Tel Aviv,Israel,la route de ceret,University of Reading,public,Avrech,ms 5515,,,Beckett,English,AVRECH,Samuel Beckett,"[GERMAN] IN MIRA AVRECH, ""STILL NACHTE MIT DEM MEISTER DES SCHWIGENS,"" STERN, 50 (9-12-99): 158 FF.",
1593,SABE [07-09-84] MAAX,7,9,84,PARIS,,Paris,France,,A,CSI,,imprinted,,1,1,,,MARK AXELROD,MARK AXELROD,,,,DUBIOUS DATE?,AXELROD,,,,,,Beckett,English,AXELROD,Samuel Beckett,,
1594,SABE 01-08-81 MAAX,1,8,81,PARIS,,Paris,France,,A,CSI,,imprinted,,1,1,,,MARK AXELROD,MARK AXELROD,,,,,AXELROD,,,,,,Beckett,English,AXELROD,Samuel Beckett,,
1595,SABE 04-08-82 MAAX,4,8,82,PARIS,,Paris,France,,A,CSI,,imprinted,,1,1,,,MARK AXELROD,MARK AXELROD,,,,,AXELROD,,,,,,Beckett,English,AXELROD,Samuel Beckett,,Y
1596,SABE 06-10-83 MAAX,6,10,83,PARIS,,Paris,France,,A,CSI,,imprinted,,1,1,,,MARK AXELROD,MARK AXELROD,,,,,AXELROD,,,,,,Beckett,English,AXELROD,Samuel Beckett,,
